EmpID,ProjectID,DateFrom,DateTo
253,15,2017-09-17,2021-08-31
298,12,2013-12-25,2019-08-14
213,19,2004-09-18,2015-01-08
253,15,2017-12-19,2019-07-21
104,12,2012-12-08,2019-01-01
298,19,2021-12-21,2022-05-20
235,19,2022-03-07,2023-06-24
213,19,2009-01-16,2013-02-19
213,13,2021-03-01,2022-07-10
177,19,2022-07-06,2023-01-01
267,13,2013-03-13,2023-04-20
247,19,2001-08-26,2007-09-07
247,5,2000-06-06,2002-10-28
298,19,2004-09-23,2006-11-15
253,15,2001-06-09,2018-02-18
213,19,2014-06-01,2021-02-13
275,12,2017-04-16,2017-07-15
122,12,2018-04-17,2023-11-27
181,19,2010-10-01,2017-09-02
181,5,2005-08-01,2015-05-04
104,19,2022-12-31,2023-10-01
177,13,2014-11-05,2017-08-15
235,15,2013-05-19,2015-04-19
122,13,2007-04-17,2011-01-30
298,12,2006-12-31,2022-06-05
275,12,2012-05-21,2012-12-29
298,12,2016-02-27,2018-05-28
298,12,2010-02-15,2013-04-25
247,5,2012-04-05,2023-08-10
247,12,2019-04-10,2020-12-12
267,12,2005-12-02,2019-06-07
213,15,2018-01-25,2022-01-21
213,13,2021-05-31,2023-02-05
253,15,2002-01-30,2005-06-18
298,19,2020-10-12,2021-10-10
